START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
5,5,2.590290,5,0.680494,1.336706e+00,3.585599,5.326296e-01
6,6,3.210402,6,0.701240,1.521301e+00,4.712567,5.324406e-01
9,9,4.827796,9,1.662128,1.066291e+00,4.158239,7.613002e-01
10,10,2.120759,10,0.053745,3.675279e+00,3.801627,5.437183e-01
12,12,4.116507,12,1.559355,9.707327e-01,4.006582,6.382378e-01
(5#)17/2,262,2.366905,256,0.091472,3.253306e+00,2.564762,8.871907e-01
(5#)19/2,292,2.207228,293,0.210260,2.351148e+00,2.472453,8.076869e-01
(5#)10,313,1.693274,313,0.246917,1.925367e+00,2.429812,5.952547e-01
(7#)3/2,316,2.096745,317,0.272714,2.039718e+00,2.146458,8.497865e-01
(5#)11,337,1.613017,337,0.304981,1.665612e+00,2.359837,5.542908e-01
(5#)12,362,1.917761,373,0.380003,1.618734e+00,2.280395,6.743384e-01
(5#)13,391,1.826947,401,0.434116,1.437090e+00,2.246644,6.199607e-01
(5#)27/2,412,2.111809,419,0.453608,1.538067e+00,2.226052,7.449067e-01
(7#)2,433,1.364958,433,0.472124,1.061637e+00,1.936632,4.610241e-01
(5#)29/2,439,2.366648,439,0.497731,1.559170e+00,2.182142,8.564598e-01
(5#)15,463,1.956971,463,0.522469,1.320587e+00,2.159287,6.643406e-01
(5#)31/2,466,1.944258,479,0.534762,1.290814e+00,2.143191,6.576623e-01
(5#)16,481,1.907067,491,0.558839,1.227460e+00,2.120196,6.358978e-01
(5#)33/2,496,1.863948,499,0.572431,1.180560e+00,2.108454,6.125422e-01
(5#)17,524,2.394277,512,0.583637,1.411557e+00,2.090167,8.662657e-01
(7#)5/2,526,2.089567,538,0.608767,1.233277e+00,2.076108,7.132577e-01
(5#)18,548,2.031998,541,0.615925,1.193650e+00,2.060868,6.871246e-01
(5#)37/2,569,1.983900,557,0.630707,1.145978e+00,2.049345,6.603051e-01
(5#)19,577,2.245675,577,0.642629,1.251194e+00,2.034463,7.879455e-01
(5#)39/2,599,2.188595,599,0.655968,1.204903e+00,2.024086,7.571946e-01
(5#)20,601,1.910627,601,0.667396,1.051803e+00,2.010595,6.183398e-01
(5#)41/2,617,1.876316,619,0.679447,1.015786e+00,2.001139,5.980939e-01
