START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio
(11#)2,4651,2.085780,4723,0.040337,3.945629e+00,1.499735,1.363870e+00
(7#)45/2,4801,1.856187,4817,0.088014,3.048784e+00,1.510170,1.170844e+00
(7#)23,4909,2.178086,4933,0.109236,2.992691e+00,1.373774,1.505961e+00
(7#)47/2,4987,2.151973,5039,0.081766,3.270279e+00,1.374037,1.506660e+00
(7#)24,5086,2.176695,5119,0.050045,3.772640e+00,1.374468,1.547253e+00
(7#)49/2,5242,2.126897,5237,0.018916,4.722411e+00,1.375363,1.532672e+00
(7#)61/2,6421,2.298798,6469,0.008144,5.642860e+00,1.394457,1.642685e+00
(7#)31,6568,2.399779,6607,0.044444,3.988902e+00,1.396873,1.686148e+00
(7#)63/2,6719,2.265862,6719,0.086768,3.262473e+00,1.399910,1.556596e+00
(7#)32,6791,2.430712,6823,0.122501,2.987820e+00,1.402395,1.645906e+00
(7#)65/2,6863,2.365471,6917,0.154477,2.728687e+00,1.405288,1.573339e+00
(11#)3,7024,2.323062,7027,0.196874,2.468077e+00,1.408246,1.509813e+00
(7#)67/2,7108,2.390305,7129,0.222047,2.376287e+00,1.411338,1.536314e+00
(7#)34,7219,2.055910,7243,0.253014,2.095029e+00,1.414357,1.274711e+00
(7#)69/2,7246,2.136908,7349,0.286208,2.010396e+00,1.417777,1.305353e+00
(7#)35,7351,2.199762,7451,0.315669,1.941410e+00,1.420973,1.325918e+00
(7#)71/2,7522,2.372402,7559,0.347319,1.921415e+00,1.424582,1.421528e+00
(7#)36,7561,2.321013,7649,0.379507,1.810886e+00,1.428107,1.359496e+00
(7#)73/2,7727,2.199214,7759,0.412275,1.674165e+00,1.432249,1.247645e+00
(7#)37,7846,2.336977,7873,0.437567,1.675384e+00,1.435965,1.322741e+00
(7#)75/2,7951,2.232082,7963,0.463644,1.571573e+00,1.439573,1.228446e+00
(7#)38,8062,2.328303,8081,0.486656,1.565337e+00,1.442879,1.276370e+00
(11#)7/2,8116,2.236375,8179,0.514136,1.470124e+00,1.446996,1.190217e+00
(7#)39,8224,2.292547,8192,0.544736,1.437117e+00,1.451386,1.204236e+00
(7#)79/2,8311,2.234912,8389,0.567267,1.371127e+00,1.455471,1.145777e+00
(7#)40,8429,2.249292,8501,0.598476,1.323984e+00,1.459627,1.130985e+00
