START,n_1,C_max,Npred_1,Cpred_max,Lambda_max
4,4,1.921812,4,2.870137,-4.010912e-01
5,5,2.590290,5,4.266093,-4.989285e-01
6,6,2.140268,6,6.218875,-1.066658e+00
8,8,2.162039,8,2.814638,-2.637820e-01
9,9,4.827796,9,5.820367,-1.869733e-01
10,10,2.120759,10,3.855372,-5.976934e-01
12,12,4.116507,12,5.565937,-3.016603e-01
13,13,2.192988,13,3.090238,-3.429828e-01
14,14,1.989892,14,3.390541,-5.329090e-01
(5#)/2,21,5.561470,15,7.379969,-2.829069e-01
(5#),30,6.169677,30,7.340724,-1.737911e-01
(5#)3/2,45,6.586672,45,7.286662,-1.009973e-01
(5#)2,60,6.705463,60,7.244948,-7.738180e-02
(5#)5/2,75,7.053239,75,7.231355,-2.493941e-02
(5#)3,90,5.399543,90,7.231854,-2.921811e-01
(7#)/2,105,8.330518,105,8.666866,-3.958158e-02
(5#)4,120,6.876023,120,7.209288,-4.732968e-02
(5#)9/2,135,6.464343,135,7.204101,-1.083490e-01
(5#)5,150,5.356046,150,7.205112,-2.965647e-01
(5#)11/2,165,7.630443,165,8.000826,-4.739895e-02
(5#)6,189,7.015126,180,7.193559,-2.511729e-02
(5#)13/2,195,7.452759,195,7.844289,-5.120148e-02
(7#),210,8.169017,210,8.629795,-5.487214e-02
(5#)15/2,225,6.285888,231,7.185086,-1.337004e-01
(5#)8,252,6.794352,240,7.184044,-5.577072e-02
(5#)17/2,255,7.253292,255,7.660853,-5.466795e-02
(5#)9,270,6.964962,270,7.182813,-3.079901e-02
(5#)19/2,294,6.152967,285,7.603372,-2.116574e-01
(5#)10,300,6.940402,300,7.177433,-3.358208e-02
(7#)3/2,315,8.431106,315,8.611154,-2.113037e-02
(5#)11,330,7.744970,330,7.974019,-2.914507e-02
(5#)23/2,345,7.941165,345,7.516904,5.490568e-02
(5#)12,360,6.159328,360,7.172463,-1.522814e-01
(5#)25/2,375,6.011286,375,7.171314,-1.764502e-01
(5#)13,390,6.571367,390,7.823875,-1.744580e-01
(5#)27/2,405,6.067260,405,7.170786,-1.671083e-01
(7#)2,420,7.991882,420,8.602239,-7.359628e-02
(5#)29/2,435,7.484021,435,7.433066,6.831787e-03
(5#)15,462,7.496438,462,7.167434,4.488033e-02
(5#)31/2,465,7.479882,465,7.414349,8.799939e-03
(5#)16,483,6.655973,480,7.165311,-7.373683e-02
(5#)33/2,495,7.792821,495,7.960590,-2.130012e-02
(5#)17,510,7.011460,510,7.642647,-8.619809e-02
(7#)5/2,525,7.786138,525,8.597070,-9.907645e-02
(5#)18,540,7.037128,540,7.162600,-1.767301e-02
(5#)37/2,555,6.919167,555,7.366560,-6.265555e-02
(5#)19,570,7.912132,570,7.583656,4.240194e-02
(5#)39/2,585,7.507745,585,7.812755,-3.982242e-02
(5#)20,609,7.032215,600,7.160273,-1.804630e-02
(5#)41/2,615,7.253455,615,7.343276,-1.230717e-02
(7#)3,630,7.913772,630,8.592078,-8.223607e-02
(5#)43/2,645,6.238688,645,7.334121,-1.617676e-01
(5#)22,660,7.918936,660,7.953603,-4.368088e-03
(5#)45/2,675,7.304469,675,7.157732,2.029310e-02
(5#)23,693,7.172064,690,7.498934,-4.456729e-02
(5#)47/2,714,7.256555,705,7.316630,-8.244569e-03
(5#)24,720,6.733463,720,7.156448,-6.092420e-02
(7#)7/2,735,8.545496,735,8.587192,-4.867430e-03
(5#)25,750,7.245794,750,7.156308,1.242704e-02
(5#)51/2,765,7.155636,765,7.632918,-6.456992e-02
(5#)26,780,7.049908,780,7.805285,-1.017865e-01
(5#)53/2,795,6.515906,795,7.294718,-1.129043e-01
(5#)27,810,6.644484,810,7.154728,-7.398628e-02
(5#)55/2,825,7.662005,825,7.949250,-3.680379e-02
(7#)4,840,8.204146,840,8.584079,-4.526954e-02
(5#)57/2,855,7.471700,855,7.573794,-1.357158e-02
(5#)29,870,7.793391,870,7.418238,4.933455e-02
(5#)59/2,885,7.917102,885,7.278424,8.411083e-02
(5#)30,900,6.786644,900,7.152086,-5.244739e-02
(5#)61/2,915,6.918699,915,7.272963,-4.993601e-02
(5#)31,930,6.631190,930,7.398623,-1.095096e-01
(7#)9/2,945,7.557932,945,8.582001,-1.270695e-01
(5#)32,960,7.073216,960,7.150884,-1.092078e-02
(5#)65/2,975,7.586652,975,7.800625,-2.781340e-02
(5#)33,990,7.497192,990,7.945348,-5.805805e-02
(5#)67/2,1005,6.853771,1005,7.260513,-5.765150e-02
(5#)34,1020,7.339809,1020,7.626431,-3.830717e-02
(5#)69/2,1035,7.084544,1035,7.489943,-5.564580e-02
(7#)5,1050,8.664745,1050,8.579662,9.868031e-03
(5#)71/2,1071,6.913789,1065,7.253049,-4.790411e-02
(5#)36,1092,7.708615,1080,7.148757,7.540005e-02
(5#)73/2,1095,6.984228,1095,7.249173,-3.723297e-02
(5#)37,1110,7.441910,1110,7.352954,1.202542e-02
(5#)75/2,1125,6.850425,1125,7.148440,-4.258356e-02
(5#)38,1140,7.127451,1140,7.568267,-6.001055e-02
(11#)/2,1155,9.135596,1155,9.530079,-4.227461e-02
(7#)6,1260,8.736587,1260,8.575313,1.863206e-02
(7#)13/2,1365,8.558090,1365,9.353563,-8.888028e-02
(7#)7,1470,7.815395,1470,8.572643,-9.248059e-02
(7#)15/2,1575,8.539645,1575,8.570938,-3.657751e-03
(7#)8,1680,8.404363,1680,8.569752,-1.948778e-02
(7#)17/2,1785,8.798305,1785,9.140185,-3.812152e-02
(7#)9,1890,8.432140,1890,8.567891,-1.597102e-02
(7#)19/2,1995,8.570591,1995,9.070563,-5.669761e-02
(7#)10,2145,8.123796,2145,8.652147,-6.301004e-02
(7#)21/2,2205,8.067147,2205,8.565147,-5.990141e-02
(11#),2310,9.140582,2310,9.515955,-4.024582e-02
(7#)23/2,2415,8.646399,2415,8.971166,-3.687270e-02
(7#)12,2520,7.983995,2520,8.562695,-6.997608e-02
(7#)25/2,2625,8.598050,2625,8.562210,4.177105e-03
(7#)13,2730,9.539146,2730,9.339906,2.110780e-02
(7#)27/2,2835,8.563346,2835,8.560788,2.987795e-04
(7#)14,2940,8.677392,2940,8.560223,1.359471e-02
(7#)29/2,3135,8.850708,3045,8.876859,-2.950283e-03
(7#)15,3150,8.074648,3150,8.559306,-5.828985e-02
(7#)31/2,3255,9.086519,3255,8.853768,2.594881e-02
(7#)16,3360,8.555133,3360,8.558168,-3.546411e-04
(11#)3/2,3465,9.205098,3465,9.508707,-3.245040e-02
(7#)17,3570,8.472487,3570,9.127886,-7.451010e-02
(7#)35/2,3675,8.657968,3675,8.556824,1.175102e-02
(7#)18,3795,8.163449,3780,8.556417,-4.701475e-02
(7#)37/2,3885,8.652843,3885,8.800594,-1.693131e-02
(7#)19,3990,8.615256,3990,9.059029,-5.022736e-02
(7#)39/2,4095,9.260206,4095,9.333003,-7.830553e-03
(7#)20,4200,8.219780,4290,8.641117,-4.998837e-02
(7#)41/2,4305,8.459134,4305,8.774000,-3.654606e-02
(7#)21,4410,8.622790,4410,8.554314,7.973053e-03
(7#)43/2,4515,8.785192,4515,8.762505,2.585798e-03
(11#)2,4620,9.432003,4620,9.503955,-7.599560e-03
(7#)45/2,4725,8.485605,4725,8.553341,-7.950825e-03
(7#)23,4830,9.236400,4830,8.960330,3.034512e-02
(7#)47/2,4935,8.559950,4935,8.742708,-2.112557e-02
(7#)24,5040,8.479144,5040,8.552367,-8.598650e-03
(7#)49/2,5145,8.234373,5145,8.552173,-3.786820e-02
(7#)25,5250,8.888987,5250,8.551904,3.865915e-02
(7#)51/2,5355,8.591447,5355,9.121652,-5.988367e-02
(7#)26,5460,8.734048,5460,9.328685,-6.586512e-02
(7#)53/2,5565,8.448369,5565,8.718788,-3.150690e-02
(7#)27,5670,8.273705,5670,8.550876,-3.295130e-02
(11#)5/2,5775,9.302545,5775,9.500613,-2.106840e-02
(7#)28,5880,8.404214,5880,8.550321,-1.723554e-02
(7#)57/2,5985,8.999710,5985,9.053113,-5.916289e-03
(7#)29,6090,8.529314,6090,8.866604,-3.878286e-02
(7#)59/2,6195,8.615973,6195,8.699637,-9.663428e-03
(7#)30,6300,8.260687,6300,8.549431,-3.435695e-02
(7#)61/2,6405,8.781065,6405,8.694189,9.942791e-03
(7#)31,6510,8.480654,6510,8.843877,-4.193779e-02
(7#)63/2,6615,8.518159,6615,8.548808,-3.591565e-03
(7#)32,6765,7.911785,6720,8.548613,-7.741556e-02
(7#)65/2,6825,9.182816,6825,9.325614,-1.543085e-02
(11#)3,6930,9.570228,6930,9.498100,7.565197e-03
(7#)67/2,7035,8.657545,7035,8.679545,-2.537981e-03
(7#)34,7140,8.998678,7140,9.117713,-1.314132e-02
(7#)69/2,7245,8.898695,7245,8.954768,-6.281394e-03
(7#)35,7350,8.151811,7350,8.547557,-4.740549e-02
(7#)71/2,7455,8.831682,7455,8.671196,1.833882e-02
(7#)36,7560,8.650793,7560,8.547153,1.205268e-02
(7#)73/2,7665,8.559782,7665,8.667419,-1.249638e-02
(7#)37,7770,9.129686,7770,8.791072,3.779464e-02
(7#)75/2,7875,7.932160,7875,8.546655,-7.461461e-02
(7#)38,7980,8.861511,7980,9.049233,-2.096272e-02
(11#)7/2,8085,9.494047,8085,9.495990,-2.045515e-04
(7#)39,8190,9.199795,8190,9.323169,-1.332132e-02
(7#)79/2,8295,8.678196,8295,8.657018,2.443291e-03
(7#)40,8400,8.398189,8400,8.545884,-1.743362e-02
(7#)81/2,8505,8.549372,8580,8.631952,-9.612805e-03
(7#)41,8610,8.810293,8610,8.764759,5.181688e-03
(7#)83/2,8715,8.501738,8715,8.650945,-1.739789e-02
(7#)42,8820,8.721193,8820,8.545307,2.037379e-02
(7#)85/2,8925,9.643464,8925,9.114894,5.637067e-02
(7#)43,9030,8.342063,9030,8.753494,-4.814239e-02
(7#)87/2,9135,8.486567,9135,8.861371,-4.321695e-02
(11#)4,9240,9.637497,9240,9.494181,1.498227e-02
(7#)89/2,9345,8.480367,9345,8.642889,-1.898325e-02
(7#)45,9450,8.618555,9450,8.544547,8.624101e-03
(7#)91/2,9555,9.354148,9555,9.321134,3.535618e-03
(7#)46,9660,8.924952,9660,8.951118,-2.927571e-03
(7#)93/2,9765,8.574123,9765,8.838792,-3.040152e-02
(7#)47,9870,8.741772,9870,8.733913,8.994704e-04
(7#)95/2,9975,9.248575,9975,9.046461,2.209580e-02
(7#)48,10080,8.329116,10080,8.543763,-2.544421e-02
(7#)97/2,10185,8.329507,10185,8.633617,-3.585927e-02
(7#)49,10290,8.593845,10290,8.543569,5.867440e-03
(11#)9/2,10395,9.448356,10395,9.492680,-4.680156e-03
(7#)50,10500,8.524160,10500,8.543300,-2.242872e-03
(7#)101/2,10605,8.847616,10605,8.629521,2.495906e-02
(7#)51,10710,8.907306,10710,9.112658,-2.279253e-02
(7#)103/2,10815,8.648719,10815,8.627551,2.450600e-03
(7#)52,10920,9.437686,10920,9.319484,1.260350e-02
(7#)105/2,11025,8.550569,11025,8.542789,9.102939e-04
(7#)53,11130,8.579993,11130,8.710189,-1.506037e-02
(7#)107/2,11235,8.734519,11235,8.623900,1.274547e-02
(7#)54,11385,8.429395,11340,8.542441,-1.332188e-02
(7#)109/2,11445,8.577796,11445,8.622209,-5.164269e-03
(11#)5,11550,9.485451,11550,9.491416,-6.286148e-04
(7#)111/2,11655,8.606500,11655,8.786199,-2.066443e-02
(7#)56,11760,8.395878,11760,8.542041,-1.725910e-02
(7#)113/2,11865,8.367746,11865,8.618931,-2.957653e-02
(7#)57,11970,8.986934,11970,9.044345,-6.367927e-03
(7#)115/2,12075,8.574915,12075,8.948500,-4.264490e-02
(7#)58,12180,8.864733,12180,8.858015,7.581037e-04
(7#)117/2,12285,9.181055,12285,9.318104,-1.481710e-02
(7#)59,12390,8.402070,12390,8.691356,-3.385082e-02
(7#)119/2,12495,8.660430,12495,9.110804,-5.069661e-02
(7#)60,12600,8.631114,12600,8.541290,1.046154e-02
(11#)11/2,12705,9.165957,12705,9.490257,-3.476935e-02
(7#)61,12810,8.463508,12810,8.685909,-2.593834e-02
(7#)123/2,12915,8.715155,12915,8.760024,-5.135098e-03
(7#)62,13020,8.714150,13020,8.835453,-1.382424e-02
(7#)125/2,13125,8.495334,13125,8.540881,-5.347081e-03
(7#)63,13230,8.332516,13230,8.540797,-2.468889e-02
(7#)127/2,13335,8.768441,13335,8.609007,1.835005e-02
(7#)64,13440,8.632976,13440,8.540599,1.075808e-02
(7#)129/2,13545,8.821299,13545,8.748851,8.246768e-03
(7#)65,13650,8.952978,13650,9.316870,-3.984054e-02
(7#)131/2,13755,8.371422,13755,8.606556,-2.770048e-02
(11#)6,13860,9.554326,13860,9.489193,6.840510e-03
(7#)133/2,13965,8.871930,13965,9.042587,-1.905297e-02
(7#)67,14070,8.326095,14070,8.671530,-4.065067e-02
(7#)135/2,14175,8.406814,14175,8.540035,-1.572256e-02
(7#)68,14280,8.793110,14280,9.109290,-3.532629e-02
(7#)137/2,14385,8.309587,14385,8.603168,-3.472057e-02
(7#)69,14490,8.894874,14490,8.946493,-5.786445e-03
(7#)139/2,14595,8.441621,14595,8.602064,-1.882780e-02
(7#)70,14700,8.493504,14700,8.539657,-5.419213e-03
(7#)141/2,14805,8.919746,14805,8.729377,2.157345e-02
(7#)71,14910,8.472977,14910,8.663297,-2.221351e-02
(13#)/2,15015,10.422348,15015,10.350831,6.885571e-03
(11#)7,16170,9.362340,16170,9.487444,-1.327401e-02
(11#)15/2,17745,9.322075,17325,9.486666,-1.750204e-02
(11#)8,18480,9.317703,18480,9.485929,-1.789336e-02
(11#)17/2,19635,9.854074,19635,10.117618,-2.639329e-02
(11#)9,20790,9.509176,20790,9.484673,2.580091e-03
(11#)19/2,21945,10.036306,21945,10.041984,-5.656308e-04
(11#)10,23205,9.963427,23205,9.931820,3.177345e-03
(11#)21/2,24255,9.263166,24255,9.483031,-2.345818e-02
(11#)11,25935,10.005154,25935,9.857581,1.485953e-02
(11#)23/2,26565,9.689038,26565,9.933645,-2.493238e-02
(11#)12,28665,9.643002,27720,9.481672,1.687185e-02
(11#)25/2,28875,9.338060,28875,9.481263,-1.521904e-02
(13#),30030,10.293246,30030,10.342787,-4.801415e-03
(11#)27/2,31395,9.616924,31395,9.751307,-1.387684e-02
(11#)14,32340,9.255797,32340,9.480149,-2.394996e-02
(11#)29/2,33495,9.866028,33495,9.830913,3.565520e-03
(11#)15,34650,9.321536,34650,9.479495,-1.680362e-02
(11#)31/2,35805,9.802526,35805,9.806050,-3.593611e-04
(11#)16,36960,9.338029,36960,9.478870,-1.496986e-02
(11#)33/2,38115,9.353586,38115,9.478580,-1.327471e-02
(11#)17,39270,10.201100,39270,10.110198,8.950908e-03
(11#)35/2,41055,9.763031,41055,9.532047,2.394348e-02
(11#)18,42315,9.558485,42315,9.626161,-7.055237e-03
(11#)37/2,42735,9.801362,42735,9.748305,5.428016e-03
(11#)19,43890,9.903415,43890,10.034771,-1.317653e-02
(13#)3/2,45045,10.267641,45045,10.338597,-6.886825e-03
(11#)20,46410,9.792153,46410,9.924770,-1.345231e-02
(11#)41/2,47355,9.544881,47355,9.719577,-1.813708e-02
(11#)21,49140,9.403788,48510,9.476380,-7.689743e-03
(11#)43/2,49665,9.652483,49665,9.707296,-5.662544e-03
(11#)22,51870,9.998061,51870,9.850763,1.484227e-02
(11#)45/2,51975,9.319346,51975,9.475759,-1.664450e-02
(11#)23,53130,9.893287,53130,9.926792,-3.380855e-03
(11#)47/2,54285,9.782592,54285,9.685949,9.928155e-03
(11#)24,55440,9.563992,55965,9.541379,2.367152e-03
(11#)49/2,56595,9.412843,56595,9.475016,-6.583339e-03
(11#)25,58695,9.539198,58695,9.529323,1.035774e-03
(11#)51/2,58905,10.142189,58905,10.106322,3.542626e-03
(13#)2,60060,10.288579,60060,10.335823,-4.581379e-03
(11#)53/2,61215,9.645349,61215,9.660113,-1.529514e-03
(11#)27,62790,9.835401,62790,9.744821,9.252216e-03
(11#)55/2,64155,9.503376,64155,9.508394,-5.279393e-04
(11#)28,64680,9.447565,64680,9.473875,-2.780966e-03
(11#)57/2,65835,9.775358,65835,10.031004,-2.581598e-02
(11#)29,66990,9.806397,66990,9.824459,-1.840228e-03
(11#)59/2,68145,9.553680,68145,9.639643,-8.957677e-03
(11#)30,69615,10.095145,69615,9.921086,1.739225e-02
(11#)61/2,70455,9.493966,70455,9.633722,-1.461324e-02
(11#)31,71610,9.744888,71610,9.799687,-5.607549e-03
(11#)63/2,73185,9.469595,72765,9.472898,-3.487672e-04
(11#)32,73920,9.405647,73920,9.472764,-7.110469e-03
(13#)5/2,75075,10.186498,75075,10.333785,-1.435557e-02
(11#)33,76230,9.455901,76230,9.472517,-1.755612e-03
(11#)67/2,77805,9.767826,77805,9.847191,-8.092349e-03
(11#)34,78540,10.054790,78540,10.103753,-4.857834e-03
(11#)69/2,79695,9.826196,79695,9.923205,-9.824103e-03
(11#)35,80850,9.539833,80850,9.472039,7.131811e-03
(11#)71/2,82005,9.591568,82005,9.609198,-1.836378e-03
(11#)36,83160,9.450770,83160,9.471807,-2.223539e-03
(11#)73/2,84630,9.473560,84630,9.620130,-1.535305e-02
(11#)37,85470,9.638199,85470,9.742209,-1.073360e-02
(11#)75/2,86625,9.633766,86625,9.471485,1.698849e-02
(11#)38,87780,9.960052,87780,10.028515,-6.850275e-03
(11#)77/2,88935,9.479594,88935,9.471272,8.782977e-04
(13#)3,90090,10.384689,90090,10.332190,5.068264e-03
(11#)79/2,91245,9.527128,91245,9.594074,-7.002254e-03
(11#)40,92820,9.906542,92820,9.918651,-1.221632e-03
(11#)81/2,94185,9.749013,94185,9.741418,7.793466e-04
(11#)41,94710,9.931640,94710,9.713620,2.219651e-02
(11#)83/2,95865,9.558347,95865,9.587607,-3.056565e-03
(11#)42,97020,9.523987,97020,9.470588,5.622533e-03
(11#)85/2,98175,9.980537,98175,10.101862,-1.208283e-02
(11#)43,99330,9.799166,99330,9.701394,1.002770e-02
(11#)87/2,100485,9.943739,100485,9.821071,1.241293e-02
(11#)44,101745,9.570069,101745,9.626202,-5.848331e-03
(11#)89/2,103740,9.777616,103740,9.844821,-6.849764e-03
(11#)45,103950,9.396709,103950,9.470057,-7.775401e-03
(13#)7/2,105105,10.369661,105105,10.330878,3.747059e-03
(11#)46,106260,9.973710,106260,9.920832,5.315834e-03
(11#)93/2,107415,9.850016,107415,9.796347,5.463566e-03
(11#)47,108570,9.594725,108570,9.680162,-8.865131e-03
(11#)95/2,109725,9.977625,109725,10.026681,-4.904516e-03
(11#)48,110880,9.317023,111930,9.535712,-2.320077e-02
(11#)97/2,112035,9.647747,112035,9.569160,8.179007e-03
(11#)49,113190,9.403366,113190,9.469407,-6.998526e-03
(11#)99/2,114345,9.486057,114345,9.469330,1.764898e-03
(11#)50,116025,9.850348,116025,9.916855,-6.729076e-03
(11#)101/2,116655,9.628890,116655,9.564824,6.675698e-03
(11#)51,117810,10.147713,117810,10.100378,4.675479e-03
(11#)103/2,118965,9.524198,118965,9.562784,-4.043236e-03
(13#)4,120120,10.204359,120120,10.329770,-1.221511e-02
(11#)105/2,121485,9.274371,121275,9.468884,-2.075626e-02
(11#)53,122430,9.681245,122430,9.654480,2.768503e-03
(11#)107/2,123585,9.526135,123585,9.558925,-3.436190e-03
(11#)54,125580,9.672570,125580,9.739157,-6.860538e-03
(11#)109/2,126945,9.590620,126945,9.616957,-2.742330e-03
(11#)55,127050,9.418726,127050,9.468541,-5.274985e-03
(11#)111/2,128205,9.680654,128205,9.739002,-6.009198e-03
(11#)56,129675,9.747662,129675,9.843072,-9.740344e-03
(11#)113/2,130515,9.436153,130515,9.553640,-1.237379e-02
(11#)57,131670,9.975189,131670,10.025235,-5.004511e-03
(11#)115/2,132825,9.928326,132825,9.919080,9.317007e-04
(11#)58,133980,9.877920,133980,9.818819,6.001162e-03
(13#)9/2,135135,10.080482,135135,10.328819,-2.433684e-02
(11#)59,136290,9.615574,136290,9.634130,-1.927908e-03
(11#)119/2,137445,10.004697,137445,10.099160,-9.397530e-03
(11#)60,139230,9.922095,139230,9.915440,6.709816e-04
(11#)121/2,139755,9.597896,139755,9.467838,1.364333e-02
(11#)61,140910,9.688002,140910,9.628252,6.186518e-03
(11#)123/2,142065,9.626506,142065,9.710483,-8.685771e-03
(11#)62,143220,9.782290,143220,9.794131,-1.209770e-03
(11#)125/2,144690,9.445858,144690,9.477715,-3.366815e-03
(11#)63,145530,9.559754,145530,9.467547,9.692162e-03
(11#)127/2,146685,9.427700,146685,9.543230,-1.217982e-02
(11#)64,148785,9.465593,147840,9.467431,-1.940947e-04
(11#)129/2,148995,9.755420,148995,9.698286,5.873788e-03
(13#)5,150150,10.404410,150150,10.327987,7.372348e-03
(11#)131/2,151305,9.533532,151515,9.560697,-2.845360e-03
(11#)66,152460,9.548055,152460,9.467210,8.503232e-03
(11#)133/2,153615,9.982228,153615,10.024047,-4.180602e-03
(11#)67,155610,9.831406,155610,9.841698,-1.046354e-03
(11#)135/2,156975,9.734691,156975,9.737487,-2.871636e-04
(11#)68,157080,10.192158,157080,10.098129,9.268375e-03
(11#)137/2,158235,9.702694,158340,9.639066,6.579357e-03
(11#)69,159390,9.906918,159390,9.917699,-1.087652e-03
(11#)139/2,160545,9.496763,160545,9.535944,-4.117279e-03
(11#)70,162435,9.943426,162435,9.914278,2.935717e-03
(11#)141/2,162855,9.628458,162855,9.677112,-5.040429e-03
(11#)71,164010,9.663285,164010,9.603890,6.165407e-03
(13#)11/2,165165,10.334154,165165,10.327246,6.686353e-04
(11#)72,166320,9.346217,166320,9.466591,-1.279724e-02
(11#)145/2,167475,9.658814,167475,9.817155,-1.626047e-02
(11#)73,169260,9.549773,169575,9.622373,-7.573466e-03
(11#)147/2,169785,9.583279,169785,9.466448,1.226607e-02
(11#)74,170940,9.716039,170940,9.736867,-2.141404e-03
(11#)149/2,172095,9.556952,172095,9.530748,2.745688e-03
(11#)75,173250,9.416377,173250,9.466306,-5.288349e-03
(11#)151/2,174405,9.534762,174405,9.529791,5.214075e-04
(11#)76,175560,9.990681,175560,10.023047,-3.234466e-03
(11#)153/2,176715,10.022134,176715,10.097243,-7.466394e-03
(11#)77,177870,9.435338,177870,9.466122,-3.257359e-03
(11#)155/2,179025,9.972932,179025,9.792494,1.825848e-02
(13#)6,180180,10.364905,180180,10.326579,3.704540e-03
(11#)157/2,181545,9.757087,181545,9.840569,-8.519728e-03
(11#)79,182910,9.439351,182490,9.588878,-1.571669e-02
(11#)159/2,183645,9.631844,183645,9.651506,-2.039278e-03
(11#)80,185640,9.865567,185640,9.913299,-4.826501e-03
(11#)161/2,185955,9.899162,185955,9.916565,-1.756408e-03
(11#)81,187110,9.429049,187110,9.465771,-3.887024e-03
(11#)163/2,188370,9.673949,188370,9.736174,-6.411621e-03
(11#)82,189420,9.728915,189420,9.708394,2.111485e-03
(11#)165/2,190575,9.428381,190575,9.465642,-3.944288e-03
(11#)83,191730,9.476543,191730,9.582462,-1.111496e-02
(11#)167/2,193830,9.497729,192885,9.522928,-2.649713e-03
(11#)84,194040,9.452465,194040,9.465519,-1.380075e-03
(13#)13/2,195195,10.211602,195195,10.325976,-1.113809e-02
(11#)85,196350,10.043303,196350,10.096469,-5.279644e-03
(11#)171/2,197505,9.976166,197505,10.022187,-4.602515e-03
(11#)86,198660,9.526064,198660,9.696220,-1.770453e-02
(11#)173/2,199815,9.474086,199815,9.520671,-4.904972e-03
(11#)87,200970,9.769778,200970,9.815846,-4.704261e-03
