START,n_geom,C_avg,Cpred_avg,Lambda_avg
4,4,3.843624,2.870137,2.920559e-01
5,5,2.590290,4.266093,-4.989285e-01
6,6,3.210402,5.413807,-5.225564e-01
8,8,2.162039,2.814638,-2.637820e-01
9,9,3.862237,5.820367,-4.101169e-01
10,10,2.120759,3.855372,-5.976934e-01
11,11,1.916634,3.298236,-5.428172e-01
12,12,5.292652,5.894830,-1.077562e-01
13,13,1.644741,3.284626,-6.916698e-01
14,14,3.095388,3.587093,-1.474287e-01
5PR/2,21,2.898303,4.362670,-4.089588e-01
5PR,36,3.133092,4.461064,-3.533668e-01
5PR3/2,52,3.612781,4.371053,-1.905260e-01
5PR2,67,3.684256,4.406809,-1.790822e-01
5PR5/2,82,3.601847,4.447406,-2.108742e-01
5PR3,97,3.572361,4.400765,-2.085518e-01
7PR/2,112,3.779822,4.513750,-1.774515e-01
5PR4,127,3.840301,4.420605,-1.407259e-01
5PR9/2,142,3.904774,4.414683,-1.227363e-01
5PR5,157,3.855689,4.377058,-1.268270e-01
5PR11/2,172,3.901053,4.471956,-1.365794e-01
5PR6,187,3.768748,4.413761,-1.579842e-01
5PR13/2,202,3.762289,4.455014,-1.690027e-01
7PR,217,3.886107,4.457371,-1.371512e-01
5PR15/2,232,3.915041,4.437037,-1.251609e-01
5PR8,247,4.087211,4.401937,-7.418199e-02
5PR17/2,262,4.016782,4.404743,-9.220079e-02
5PR9,277,3.916064,4.416046,-1.201577e-01
5PR19/2,292,3.818922,4.463859,-1.560456e-01
5PR10,307,3.864089,4.367723,-1.225158e-01
7PR3/2,322,4.034332,4.463673,-1.011311e-01
5PR11,337,4.098600,4.441734,-8.039932e-02
5PR23/2,352,4.144928,4.429153,-6.632288e-02
5PR12,367,4.105645,4.404046,-7.016078e-02
5PR25/2,382,3.981550,4.375383,-9.432273e-02
5PR13,397,4.117981,4.449618,-7.745512e-02
5PR27/2,412,4.028145,4.385108,-8.490825e-02
7PR2,427,4.108457,4.475646,-8.560323e-02
5PR29/2,442,4.097855,4.389138,-6.866909e-02
5PR15,457,4.183342,4.459414,-6.390695e-02
5PR31/2,472,3.990495,4.367464,-9.026739e-02
5PR16,487,4.010874,4.417754,-9.662237e-02
5PR33/2,502,4.027449,4.406859,-9.002898e-02
5PR17,517,3.995164,4.370235,-8.973208e-02
7PR5/2,532,4.169212,4.486799,-7.341240e-02
5PR18,547,4.208122,4.401907,-4.502156e-02
5PR37/2,562,4.098397,4.408950,-7.304070e-02
5PR19,577,4.190533,4.370498,-4.204888e-02
5PR39/2,592,4.132720,4.444717,-7.278063e-02
5PR20,607,4.108872,4.387085,-6.551655e-02
5PR41/2,622,4.072023,4.419503,-8.188747e-02
7PR3,637,4.210624,4.404464,-4.500783e-02
5PR43/2,652,4.055973,4.379944,-7.684548e-02
5PR22,667,4.285716,4.471042,-4.233385e-02
5PR45/2,682,4.217256,4.341784,-2.910075e-02
5PR23,697,4.132402,4.458627,-7.598216e-02
5PR47/2,712,3.995540,4.388562,-9.382300e-02
5PR24,727,3.933625,4.331844,-9.643189e-02
7PR7/2,742,4.191761,4.491589,-6.908568e-02
5PR25,757,4.065922,4.371842,-7.254394e-02
5PR51/2,772,4.215587,4.410583,-4.521790e-02
5PR26,787,4.121050,4.395240,-6.441409e-02
5PR53/2,802,4.203430,4.396155,-4.482950e-02
5PR27,817,4.115664,4.385226,-6.344093e-02
5PR55/2,832,4.368392,4.381302,-2.951111e-03
7PR4,847,4.280146,4.429443,-3.428662e-02
5PR57/2,862,4.241487,4.438668,-4.544055e-02
5PR29,877,4.232058,4.393551,-3.744922e-02
5PR59/2,892,4.105818,4.366504,-6.155767e-02
5PR30,907,4.151809,4.401005,-5.828860e-02
5PR61/2,922,4.200328,4.389383,-4.402601e-02
5PR31,937,4.135818,4.356593,-5.200520e-02
7PR9/2,952,4.138985,4.462477,-7.525345e-02
5PR32,967,4.213222,4.377992,-3.836247e-02
5PR65/2,982,4.143735,4.423453,-6.532311e-02
5PR33,997,3.994461,4.360331,-8.763946e-02
5PR67/2,1012,4.035234,4.368753,-7.941315e-02
5PR34,1027,4.271230,4.429111,-3.629696e-02
5PR69/2,1042,4.060863,4.341021,-6.671389e-02
7PR5,1057,4.202740,4.442941,-5.557981e-02
5PR71/2,1072,4.195535,4.405126,-4.874789e-02
5PR36,1087,4.217497,4.405680,-4.365287e-02
5PR73/2,1102,4.118857,4.342852,-5.295543e-02
5PR37,1117,4.187505,4.429646,-5.621469e-02
5PR75/2,1132,4.081382,4.356636,-6.526432e-02
5PR38,1147,4.035641,4.311021,-6.600954e-02
11PR/2,1206,4.187447,4.398135,-4.908928e-02
7PR6,1311,4.146275,4.385755,-5.615135e-02
7PR13/2,1416,4.248287,4.386821,-3.208903e-02
7PR7,1521,4.209736,4.383393,-4.042297e-02
7PR15/2,1626,4.163558,4.382146,-5.116868e-02
7PR8,1731,4.174837,4.377208,-4.733563e-02
7PR17/2,1836,4.224824,4.381581,-3.643218e-02
7PR9,1941,4.219150,4.369772,-3.507706e-02
7PR19/2,2046,4.229834,4.372388,-3.314663e-02
7PR10,2151,4.258897,4.371407,-2.607471e-02
7PR21/2,2256,4.202611,4.366272,-3.820344e-02
11PR,2361,4.226860,4.374976,-3.444172e-02
